X,Y
31.451612903225804,27.110389610389614
25.60483870967742,35.49783549783551
24.596774193548388,48.079004329004334
27.92338709677419,60.524891774891785
62.39919354838709,57.14285714285715
65.625,47.26731601731602
65.7258064516129,34.821428571428584
60.383064516129025,23.187229437229444
52.016129032258064,13.582251082251084
55.947580645161295,18.31709956709957
63.10483870967742,29.27489177489178
66.22983870967742,41.04437229437231
63.508064516129025,52.002164502164504
32.66129032258064,67.01839826839827
